index,date,pres,link,exec
81,18300306,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67073,
82,18300605,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67074,
83,18300918,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67075,
84,18301005,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67076,
85,18310210,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67077,
86,18321210,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67078,
87,18350428,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67081,
88,18360901,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67082,
89,18361220,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67083,
90,18370328,MVB,http://www.presidency.ucsb.edu/ws/index.php?pid=67313,
91,18370515,MVB,http://www.presidency.ucsb.edu/ws/index.php?pid=67314,
92,18370614,MVB,http://www.presidency.ucsb.edu/ws/index.php?pid=67315,
93,18371011,MVB,http://www.presidency.ucsb.edu/ws/index.php?pid=67316,
94,18380105,MVB,http://www.presidency.ucsb.edu/ws/index.php?pid=67317,
95,18381121,MVB,http://www.presidency.ucsb.edu/ws/index.php?pid=67318,
96,18410106,MVB,http://www.presidency.ucsb.edu/ws/index.php?pid=67319,
97,18410317,WHH,http://www.presidency.ucsb.edu/ws/index.php?pid=67331,
98,18410413,JT,http://www.presidency.ucsb.edu/ws/index.php?pid=67344,
99,18410925,JT,http://www.presidency.ucsb.edu/ws/index.php?pid=67555,
100,18450108,JT,http://www.presidency.ucsb.edu/ws/index.php?pid=67556,
101,18460117,JKP,http://www.presidency.ucsb.edu/ws/index.php?pid=67878,
102,18460513,JKP,http://www.presidency.ucsb.edu/ws/index.php?pid=67909,
103,18460907,JKP,http://www.presidency.ucsb.edu/ws/index.php?pid=67943,
104,18470420,JKP,http://www.presidency.ucsb.edu/ws/index.php?pid=67963,
105,18471104,JKP,http://www.presidency.ucsb.edu/ws/index.php?pid=67964,
106,18480704,JKP,http://www.presidency.ucsb.edu/ws/index.php?pid=68015,
107,18490102,JKP,http://www.presidency.ucsb.edu/ws/index.php?pid=68041,
108,18490302,JKP,http://www.presidency.ucsb.edu/ws/index.php?pid=68053,
109,18490811,ZT,http://www.presidency.ucsb.edu/ws/index.php?pid=68061,
