index,date,pres,link,exec
81,18621107,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69826,
82,18621112,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69827,
83,18621113,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69828,
84,18621115,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69829,
85,18621121,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69830,
86,18621222,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69881,
87,18630104,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69882,
88,18630108,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69883,
89,18630121,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69884,
90,18630125,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=88869,
91,18630331,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69903,
92,18630622,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69904,
93,18630704,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69905,
94,18630709,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69906,
95,18630725,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69907,
96,18630730,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69908,
97,18630825,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69909,
98,18630831,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69910,
99,18630904,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69911,
100,18630924,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69913,
101,18631110,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69914,
102,18631207,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70002,
103,18631221,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70003,
104,18640109,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70004,
105,18640112,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70005,
106,18640126,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=593,
107,18640201,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70006,
108,18640201,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70007,
109,18640226,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70008,
110,18640307,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70009,
111,18640307,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70010,
112,18640310,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70011,
113,18640312,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70013,
114,18640314,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70014,
115,18640402,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70015,
116,18640423,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70016,
117,18640509,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70017,
118,18640518,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70018,
119,18640718,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70019,
120,18640831,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70020,
121,18640903,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70021,
122,18640903,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70023,
123,18640903,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70024,
124,18640903,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70025,
125,18640910,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70026,
126,18640924,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70027,
127,18641001,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70028,
128,18641012,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70029,
129,18641114,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70030,
130,18641203,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70031,
131,18641210,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70063,
132,18641217,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70064,
133,18641231,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70065,
134,18650120,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70067,
135,18650206,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70068,
136,18650213,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70069,
137,18650221,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70070,
138,18650308,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70080,
139,18650314,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70081,
140,18650327,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70082,
